report file,violation number,biggest violation
CLK_L0_DTCTL_OD_DIV1P5,0,0
CLK_L1_ADJ_DTCTL_OD_DIV1P5,0,0
CLK_L1_DTCTL_OD_DIV1P5,0,0
I2C_CLK,0,0.082690
LS_CLK,0,0.073601
OSC_CLK_IN,0,0.001223
POWERON_CLK,0,0
RX0_CLK_DIV1P5_1P,0,0
RX0_CLK_DIV1P5,0,0.101767
RX0_CLK,0,0
RX0_OD_CLK_DIV2,0,0.036835
RX0_OD_CLK,0,0.078653
RX1_CLK_DIV1P5_ADJ,0,0
RX1_CLK_DIV1P5,0,0.144099
RX1_CLK,0,0
RX1_OD_CLK_DIV2,0,0
RX1_OD_CLK,0,0
STB_CLK,0,0.018615
VS_CLK,0,0.018615
WCLK1_A_DCLK,0,0
WCLK1_A_I2C,0,0
async,0,0.085070
gating,0,0.124030
hold.rpt,0,0.001223
